timestamp,pitch,roll,heading,lin_acc_x,lin_acc_y,lin_acc_z,gyro_x,gyro_y,gyro_z,temp,humidity,pressure
2026-06-25 11:48:53,174.3,84.3,69.6,-0.08,-0.3,-0.07,0.0011,0.0087,0.0098,0,0,0
2026-06-25 11:48:55,-11.0,44.7,79.5,-1.3,0.4,0.51,0.0709,-0.3971,0.1113,0,0,0
2026-06-25 11:48:57,-1.8,67.1,65.2,-1.54,-0.33,0.2,1.1726,0.2291,2.0268,0,0,0
2026-06-25 11:48:59,81.8,-2.6,319.4,0.38,-1.47,-0.46,-0.0404,-0.0076,-0.0676,0,0,0
2026-06-25 11:49:01,81.6,-2.6,327.2,0.22,0.09,0.18,0.0076,-0.0033,-0.036,0,0,0
2026-06-25 11:49:03,81.5,-2.1,327.8,0.45,0,0.17,-0.0262,0.012,0.0382,0,0,0
2026-06-25 11:49:05,81.1,-0.6,329.0,0.18,-0.04,0.05,-0.0153,0.0011,0.0011,0,0,0
2026-06-25 11:49:07,81.0,-0.3,329.2,0.05,-0.07,0.08,0.0175,0,-0.0109,0,0,0
2026-06-25 11:49:09,81.0,-0.3,329.2,0.03,-0.1,0.1,0.0109,0,-0.0076,0,0,0
2026-06-25 11:49:11,81.0,-0.3,329.2,0,-0.06,-0.03,0.0098,0.0022,0.0011,0,0,0
2026-06-25 11:49:13,81.0,-0.3,329.2,0.05,-0.12,0.04,0.0055,-0.0033,0.0011,0,0,0
2026-06-25 11:49:15,81.0,-0.3,329.2,0.02,-0.09,0,0.0011,0.0011,0,0,0,0
2026-06-25 11:49:17,81.0,-0.3,329.2,0.05,-0.08,0.05,-0.0011,-0.0011,0.0022,0,0,0
2026-06-25 11:49:19,81.0,-0.3,329.2,0.05,-0.09,0.05,-0.0044,0.0011,0,0,0,0
2026-06-25 11:49:21,81.0,-0.3,329.2,0.06,-0.09,0.04,-0.0033,0.0011,0.0044,0,0,0
2026-06-25 11:49:23,3.2,50.2,309.8,-1.18,-0.57,0.19,0.8225,-4.6088,0.2323,0,0,0
2026-06-25 11:49:25,18.4,79.9,334.3,0.28,-0.05,-0.39,0.0305,-0.0905,0.0218,0,0,0
2026-06-25 11:49:27,-29.2,82.4,333.0,-0.39,0.44,0.13,0.1102,-0.1745,-0.3774,0,0,0
2026-06-25 11:49:29,-1.9,85.3,330.6,0.5,-0.56,-1.53,0.6741,-0.2749,0.4669,0,0,0
2026-06-25 11:49:31,18.5,71.1,16.0,-0.35,-0.91,0.26,2.5416,-1.3952,0.4407,0,0,0
2026-06-25 11:49:33,89.1,80.4,314.5,0.21,0.02,-0.28,-1.0712,0.1342,-0.2945,0,0,0
2026-06-25 11:49:35,-1.3,83.9,339.1,-0.32,-0.37,0.27,0.168,0.0349,-0.54,0,0,0
2026-06-25 11:49:37,-3.4,83.9,335.5,0.2,0.22,0.12,-0.0229,0.0382,0.2073,0,0,0
2026-06-25 11:49:39,-3.2,83.4,335.4,-0.05,-0.21,0.05,0.0055,0,-0.0556,0,0,0
2026-06-25 11:49:41,-31.9,83.1,334.8,-0.07,0.09,0.02,-0.0044,0.0033,0.036,0,0,0
2026-06-25 11:49:43,-31.6,83.1,334.7,0.02,0.03,0.04,0.0022,-0.0044,-0.0273,0,0,0
2026-06-25 11:49:45,-31.5,83.1,334.7,-0.04,-0.01,0,-0.0033,0.0044,0.0164,0,0,0
2026-06-25 11:49:47,-31.5,83.1,334.7,-0.02,0.02,0.01,0.0011,-0.0011,-0.012,0,0,0
2026-06-25 11:49:49,-31.6,83.1,334.7,-0.05,-0.04,0.07,-0.0033,0.0011,0.0022,0,0,0
2026-06-25 11:49:51,-31.6,83.1,334.7,-0.05,-0.02,-0.03,0,-0.0011,0.0033,0,0,0
2026-06-25 11:49:53,-31.6,83.1,334.7,-0.08,-0.01,-0.08,0.0022,0,-0.0044,0,0,0
2026-06-25 11:49:55,-31.6,83.1,334.7,-0.05,-0.02,0.02,-0.0011,-0.0022,-0.0022,0,0,0
2026-06-25 11:49:57,-31.6,83.1,334.7,-0.05,-0.01,-0.03,0,-0.0033,0,0,0,0
2026-06-25 11:49:59,-13.2,71.6,340.9,-0.61,-0.27,0.15,-0.1669,1.7781,-0.1102,0,0,0
2026-06-25 11:50:01,-14.2,56.5,344.5,-0.92,0.42,0.72,-0.0589,-1.1519,0.4658,0,0,0
2026-06-25 11:50:03,-21.8,76.2,317.7,1.06,-0.1,0.57,0.0938,-0.024,-0.3338,0,0,0
2026-06-25 11:50:05,1.0,59.4,305.4,-0.36,0.6,0.61,0.0098,0.4614,-0.1854,0,0,0
2026-06-25 11:50:07,168.1,62.8,300.2,1.57,-0.64,-1.2,-0.2214,-1.0167,-0.18,0,0,0
2026-06-25 11:50:09,-176.7,69.6,292.9,-0.76,-0.5,-0.73,-0.1331,-1.7846,0.1702,0,0,0
2026-06-25 11:50:11,-26.1,67.6,307.0,-0.36,0.33,0.57,0.0065,0.1887,-0.1385,0,0,0
2026-06-25 11:50:13,169.0,82.2,293.4,-0.96,-0.51,-0.4,0.1974,-0.0753,0.6752,0,0,0
2026-06-25 11:50:15,164.3,46.1,265.3,-0.53,-0.63,-0.88,-0.1669,0.0993,-0.1527,0,0,0
2026-06-25 11:50:17,120.1,79.4,257.4,0.95,-0.44,-0.13,0.1244,0.8225,0.0676,0,0,0
2026-06-25 11:50:19,-172.4,29.1,260.2,-1.06,-0.31,0.19,0.2563,1.7475,0.1734,0,0,0
2026-06-25 11:50:21,-164.0,78.9,260.0,-0.59,0.28,-0.47,-0.0687,1.2086,-0.4189,0,0,0
2026-06-25 11:50:23,-92.8,81.5,257.8,-2.39,-0.26,0.06,0.0316,0.3512,-1.1126,0,0,0
2026-06-25 11:50:25,146.9,70.9,247.9,1.28,-0.71,-2.84,-0.6556,-5.0865,1.3068,0,0,0
2026-06-25 11:50:27,174.1,30.9,284.9,-1.57,0.5,0.2,-1.7017,-0.3742,2.0671,0,0,0
2026-06-25 11:50:29,111.3,78.4,77.8,-0.2,0.19,-0.1,-0.2258,0.1145,-0.0502,0,0,0
