timestamp,pitch,roll,heading,lin_acc_x,lin_acc_y,lin_acc_z,gyro_x,gyro_y,gyro_z,temp,humidity,pressure
2026-06-25 09:26:31,-3.8,-5.2,0,-0.01,0,0.03,0,-0.0011,0.0022,0,0,0
2026-06-25 09:26:33,-3.8,-5.2,0,-0.02,0,0.02,0,-0.0011,-0.0033,0,0,0
2026-06-25 09:26:35,-3.8,-5.2,0,-0.01,0.02,-0.01,0,-0.0022,0.0011,0,0,0
2026-06-25 09:26:37,-3.8,-5.2,0,-0.01,0,0.04,0.0011,0.0011,-0.0011,0,0,0
2026-06-25 09:26:38,-3.7,-5.3,359.9,-0.09,-0.04,0.07,0.0033,0.144,-0.0109,0,0,0
2026-06-25 09:26:40,-3.8,-7.1,0,-0.01,-0.03,0.09,0.0011,-0.0076,0,0,0,0
2026-06-25 09:26:42,-3.8,-6.8,0,-0.01,0.09,0.1,0.0033,-0.0262,0,0,0,0
2026-06-25 09:26:45,-3.9,-7.0,0,-0.03,-0.05,0,0.0011,-0.0011,0,0,0,0
2026-06-25 09:26:47,-3.9,-7.0,0,-0.04,0,0.08,0.0011,0,0.0011,0,0,0
2026-06-25 09:26:49,-3.9,-7.0,0,-0.07,-0.01,-0.01,-0.0011,-0.0022,0.0011,0,0,0
2026-06-25 09:26:51,-3.9,-7.0,0,-0.04,-0.01,0,0.0011,-0.0022,-0.0011,0,0,0
2026-06-25 09:26:53,-3.9,-7.0,0,-0.04,-0.01,0.12,0,0.0011,0,0,0,0
2026-06-25 09:26:55,-3.8,-10.6,0.2,-0.05,-0.05,0.02,0.0011,0.0065,-0.0011,0,0,0
2026-06-25 09:26:57,10.1,-7.9,37.8,-0.41,-0.29,0.51,1.2774,0.7756,0.8029,0,0,0
2026-06-25 09:26:59,21.3,-65.2,44.9,-0.05,-0.41,0.1,0.0011,-0.012,0.0284,0,0,0
2026-06-25 09:27:01,27.1,-64.6,47.4,0,-0.06,-0.03,-0.0011,0.0185,0.0044,0,0,0
2026-06-25 09:27:03,28.1,-65.2,47.6,-0.01,-0.11,-0.09,-0.0044,0,-0.0076,0,0,0
2026-06-25 09:27:05,28.2,-65.1,47.8,-0.01,-0.13,-0.08,-0.0011,-0.0022,0,0,0,0
2026-06-25 09:27:07,38.6,-37.4,74.6,-0.21,-0.19,-0.11,0.0011,-0.0611,-0.3949,0,0,0
2026-06-25 09:27:09,35.2,-47.8,58.9,0.17,0.18,-0.04,0.36,-0.2858,-0.2149,0,0,0
